temple_name,photo_1_url,photo_2_url,photo_3_url,photo_4_url
"Mahabodhi Temple","https://upload.wikimedia.org/wikipedia/commons/d/dc/Mahabodhi_Temple_South_Wall_%282%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7c/Votive_Stupas_-_Mahabodhi_Temple_Complex_-_Bodh_Gaya_%2813%29.jpg","https://upload.wikimedia.org/wikipedia/commons/c/ce/Decorative_Panels_on_Votive_Stupas_-_Mahabodhi_Temple_Complex_%281%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/75/Votive_Stupas_-_Mahabodhi_Temple_Complex_-_Bodh_Gaya_%2818%29.jpg"
"Vishnupad Temple","https://upload.wikimedia.org/wikipedia/commons/e/ee/Vishnupad_temple_gaya_bihar.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0c/Vishnupad-temple.jpg","https://upload.wikimedia.org/wikipedia/commons/0/04/Vishnupad.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b4/Vishnupad_Temple_-_panoramio.jpg"
"Patan Devi Temple","https://upload.wikimedia.org/wikipedia/commons/1/15/Temple_of_Chandika_Devi_-_Patan_-Maharashtra_-SGR_001.jpg","https://upload.wikimedia.org/wikipedia/commons/3/31/Balkumari_Devi_Temple_Balkumari_Lalitpur_Nepal_Rajesh_Dhungana_%282%29.jpg","https://upload.wikimedia.org/wikipedia/commons/6/66/Tamarindus_indica_at_Patan_Devi_Temple_Ancient_imli_tree.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8d/Patan_Devi_Temple.JPG"
"Mangla Gauri Temple","https://upload.wikimedia.org/wikipedia/commons/d/d9/View_of_Gaya_from_Hills_of_Mangla_Gauri.jpg","https://upload.wikimedia.org/wikipedia/commons/5/56/Historic_heritage_sites_of_Bihar_with_GPS_coordinates.jpg","https://upload.wikimedia.org/wikipedia/commons/3/32/Mangala_Gauri_Temple_at_Gaya%2C_Bihar.jpg",null
"Danteshwari Temple","https://upload.wikimedia.org/wikipedia/commons/c/c2/0011122_Dantewada_Danteswari_Mata_Mandir_Chattisgarh_060.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f9/Danteshwari_Temple_%2C_Jagdalpur.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c2/Maa_Danteswari_Mandir_Front.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f6/Danteswari_Temple_0034.jpg"
"Bamleshwari Temple","https://upload.wikimedia.org/wikipedia/commons/3/3c/Maa_Bamleshwari_Temple.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f8/Shrine_bimbleswari.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b7/Arieal_View_from_Maa_Bamleshwari_Devi_Temple_on_a_hilltop.JPG","https://upload.wikimedia.org/wikipedia/commons/9/93/Maa_Bamleshwari.jpg"
"Jhandewalan Temple","https://upload.wikimedia.org/wikipedia/commons/d/d6/Idol_of_Maa_Aadi_Shakti_at_Jhandewalan_Temple%2C_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/6/61/Jhandewalan_temple_at_night_on_Navratri.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dd/Main_entrance_gate_of_Jhandewalan_Temple%2C_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Jhandewalan_Temple_complex_and_spire%2C_New_Delhi.jpg"
"Laxminarayan Temple Birla Mandir Delhi","https://upload.wikimedia.org/wikipedia/commons/3/33/Laxminarayan_Temple_Delhi_2013.jpg","https://upload.wikimedia.org/wikipedia/commons/0/00/Birla_Mandir_of_New_Delhi_05.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6d/Birla_Mandir_of_New_Delhi_01.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e8/Birla_Mandir_of_New_Delhi_02.jpg"
"Shri Kalkaji Mandir","https://upload.wikimedia.org/wikipedia/commons/8/81/The_Prime_Minister%2C_Shri_Narendra_Modi_flagging_off_the_Metro_Magenta_Line_from_Botanical_Garden_to_Kalkaji_Mandir%2C_at_Noida%2C_Uttar_Pradesh.jpg","https://upload.wikimedia.org/wikipedia/commons/3/38/Jai_Maa_Shri_Kalka_Ji_-_Godess_Maa_Kalka_Ji_also_Known_as_Maa_Kali.jpg",null,null
"Lotus Temple Delhi","https://upload.wikimedia.org/wikipedia/commons/d/dc/Lotus_Temple_in_New_Delhi_03-2016.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f7/Lotus_Temple-Panoroma-Visit_During_WCI_2016-_IMG_6471.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7a/Lotus_temple_in_Delhi%2C_India_%282018%29.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/A_view_of_Lotus_Temple%2C_Kalkaji%2C_Delhi.jpg"
